ID,Age_18 - 34,Age_35 - 49,Age_50 - 64,Gender_Male,Education_Bachelor's degree,Education_High school diploma or equivalent,Education_Master's degree or higher,num_cars_One car
1,0,1,0,1,0,0,1,1
2,1,0,0,0,1,0,0,1
3,0,1,0,1,0,0,1,1
4,0,1,0,0,0,0,1,1
5,1,0,0,0,1,0,0,1
6,1,0,0,1,1,0,0,0
7,0,0,1,0,1,0,0,0
8,0,1,0,1,0,0,1,1
9,1,0,0,0,1,0,0,1
10,1,0,0,0,1,0,0,1
11,1,0,0,0,1,0,0,0
12,0,1,0,1,0,0,1,0
13,1,0,0,0,1,0,0,0
14,0,1,0,0,0,1,0,0
15,1,0,0,1,1,0,0,0
16,1,0,0,1,1,0,0,0
17,0,1,0,0,0,0,1,0
18,0,1,0,1,0,0,1,1
19,0,1,0,0,0,0,1,1
20,0,0,1,1,0,0,1,0
21,1,0,0,0,0,0,1,0
22,1,0,0,1,1,0,0,1
23,1,0,0,1,0,0,1,1
24,1,0,0,1,0,0,1,0
25,0,1,0,0,1,0,0,1
26,1,0,0,0,0,0,1,1
27,1,0,0,0,1,0,0,0
28,0,0,1,1,0,0,1,0
29,1,0,0,1,0,0,1,0
30,0,1,0,0,0,0,1,0
31,1,0,0,1,0,0,1,1
